staging_url,intended_production_url,object_type,object_id,title,slug,canonical,indexable_after_launch,sitemap_expected,notes
https://staging2.braveheartspublishing.com/blog/science-books-for-kids-that-feel-like-adventures/,https://www.braveheartspublishing.com/blog/science-books-for-kids-that-feel-like-adventures/,post,84,For the Kid Who Always Asks Why: Science Books That Feel Like Real Adventures,science-books-for-kids-that-feel-like-adventures,,no,yes,Published REST object
https://staging2.braveheartspublishing.com/blog/dog-man-to-magic-tree-house-reading-roadmap/,https://www.braveheartspublishing.com/blog/dog-man-to-magic-tree-house-reading-roadmap/,post,56,From Dog Man to Magic Tree House: The Reading Roadmap No One Gave You,dog-man-to-magic-tree-house-reading-roadmap,,no,yes,Published REST object
https://staging2.braveheartspublishing.com/blog/kirkus-review-adventures-of-charlotte-and-henry/,https://www.braveheartspublishing.com/blog/kirkus-review-adventures-of-charlotte-and-henry/,post,72,Adventures of Charlotte & Henry Just Got a Kirkus Review. Here’s What They Said.,kirkus-review-adventures-of-charlotte-and-henry,,no,yes,Published REST object
https://staging2.braveheartspublishing.com/blog/what-to-read-after-dog-man/,https://www.braveheartspublishing.com/blog/what-to-read-after-dog-man/,post,96,What to Read After Dog Man: Bridge Books for Kids Who Love Graphic Novels,what-to-read-after-dog-man,,no,yes,Published REST object
https://staging2.braveheartspublishing.com/blog/best-books-for-7-year-olds/,https://www.braveheartspublishing.com/blog/best-books-for-7-year-olds/,post,28,The Best Books for 7-Year-Olds That Turn Them Into Readers,best-books-for-7-year-olds,,no,yes,Published REST object
https://staging2.braveheartspublishing.com/blog/best-summer-reading-books-for-kids-ages-6-9/,https://www.braveheartspublishing.com/blog/best-summer-reading-books-for-kids-ages-6-9/,post,38,The Best Summer Reading Books for Kids Ages 6–9 (That They’ll Actually Finish),best-summer-reading-books-for-kids-ages-6-9,,no,yes,Published REST object
https://staging2.braveheartspublishing.com/blog/books-like-magic-tree-house/,https://www.braveheartspublishing.com/blog/books-like-magic-tree-house/,post,46,8 Books Like Magic Tree House Your Kids Will Love Just as Much,books-like-magic-tree-house,,no,yes,Published REST object
https://staging2.braveheartspublishing.com/blog/gap-between-picture-books-and-chapter-books/,https://www.braveheartspublishing.com/blog/gap-between-picture-books-and-chapter-books/,post,64,The Gap Between Picture Books and Chapter Books Is Real — Here’s What Goes There,gap-between-picture-books-and-chapter-books,,no,yes,Published REST object
https://staging2.braveheartspublishing.com/blog/why-i-wrote-this-book/,https://www.braveheartspublishing.com/blog/why-i-wrote-this-book/,post,98,Charlotte Is Real. Henry Is Real. And This Is Why I Wrote Them a Book.,why-i-wrote-this-book,,no,yes,Published REST object
https://staging2.braveheartspublishing.com/blog/finding-right-books-with-lexile-score/,https://www.braveheartspublishing.com/blog/finding-right-books-with-lexile-score/,post,58,I Spent Two Years Picking the Wrong Books for Kids. Then I Found their Lexile Scores.,finding-right-books-with-lexile-score,,no,yes,Published REST object
https://staging2.braveheartspublishing.com/blog/mount-everest-facts-for-kids/,https://www.braveheartspublishing.com/blog/mount-everest-facts-for-kids/,post,76,10 Mount Everest Facts for Kids That Will Make Their Jaw Drop,mount-everest-facts-for-kids,,no,yes,Published REST object
https://staging2.braveheartspublishing.com/blog/bridge-books-for-struggling-readers/,https://www.braveheartspublishing.com/blog/bridge-books-for-struggling-readers/,post,54,Bridge Books for Struggling Readers: The Parent’s Complete Roadmap,bridge-books-for-struggling-readers,,no,yes,Published REST object
https://staging2.braveheartspublishing.com/blog/my-child-hates-reading-what-to-do/,https://www.braveheartspublishing.com/blog/my-child-hates-reading-what-to-do/,post,80,My Child Hates Reading: What Actually Works,my-child-hates-reading-what-to-do,,no,yes,Published REST object
https://staging2.braveheartspublishing.com/blog/how-to-pick-a-read-aloud-book/,https://www.braveheartspublishing.com/blog/how-to-pick-a-read-aloud-book/,post,70,How to Pick a Read-Aloud Book That Keeps a Whole Class Listening,how-to-pick-a-read-aloud-book,,no,yes,Published REST object
https://staging2.braveheartspublishing.com/blog/reading-level-by-grade-chart/,https://www.braveheartspublishing.com/blog/reading-level-by-grade-chart/,post,82,Reading Level Chart by Grade: What Level Should My Child Be At??,reading-level-by-grade-chart,,no,yes,Published REST object
https://staging2.braveheartspublishing.com/blog/what-is-the-mariana-trench-for-kids/,https://www.braveheartspublishing.com/blog/what-is-the-mariana-trench-for-kids/,post,94,What Is the Mariana Trench? Everything Kids (and Parents) Need to Know,what-is-the-mariana-trench-for-kids,,no,yes,Published REST object
https://staging2.braveheartspublishing.com/blog/best-read-aloud-books-for-classroom-grades-1-3/,https://www.braveheartspublishing.com/blog/best-read-aloud-books-for-classroom-grades-1-3/,post,36,The Best Read Aloud Books for Elementary Classrooms (Grades 1–3),best-read-aloud-books-for-classroom-grades-1-3,,no,yes,Published REST object
https://staging2.braveheartspublishing.com/blog/my-child-got-a-lexile-score-now-what/,https://www.braveheartspublishing.com/blog/my-child-got-a-lexile-score-now-what/,post,78,My Child Got a Lexile Score — Now What? Here’s Exactly What to Do,my-child-got-a-lexile-score-now-what,,no,yes,Published REST object
https://staging2.braveheartspublishing.com/blog/teacher-appreciation-week-thank-you/,https://www.braveheartspublishing.com/blog/teacher-appreciation-week-thank-you/,post,86,To Every Teacher Who Said Yes: Happy Teacher Appreciation Week,teacher-appreciation-week-thank-you,,no,yes,Published REST object
